Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1932014,Professions and Professional Ideologies in America,Gerald L. Geison,"Geison, Gerald L.",,"=""0807815683""","=""9780807815687""",0,0.0,The University of North Carolina Press,Hardcover,147,1983,1983,,2024/01/12,to-read,to-read (#84),to-read,,,,0,0
22852248,"Legal Practice and the Written Word in the Early Middle Ages: Frankish Formulae, c.500–1000 (Cambridge Studies in Medieval Life and Thought: Fourth Series Book 75)",Alice Rio,"Rio, Alice",,"=""0511653085""","=""9780511653087""",0,4.50,Cambridge University Press,Kindle Edition,312,2009,2009,,2024/01/12,to-read,to-read (#83),to-read,,,,0,0
80796,Unequal Justice: Lawyers and Social Change in Modern America,Jerold S. Auerbach,"Auerbach, Jerold S.",,"=""0195021703""","=""9780195021707""",0,3.56,Oxford University Press,Paperback,416,1977,1974,,2024/01/12,to-read,to-read (#82),to-read,,,,0,0
3871074,"Present-day law schools in the United States and Canada (America in two centuries, an inventory)",Alfred Zantzinger Reed,"Reed, Alfred Zantzinger",,"=""0405077076""","=""9780405077074""",0,0.0,Arno Press,Unknown Binding,598,1976,1976,,2024/01/12,to-read,to-read (#81),to-read,,,,0,0
3704766,Law on the Midway: The Founding of the University of Chicago Law School,Frank L. Ellsworth,"Ellsworth, Frank L.",,"=""0226206084""","=""9780226206080""",0,0.0,University of Chicago Press,Hardcover,191,1977,1977,,2024/01/12,to-read,to-read (#80),to-read,,,,0,0
2785212,Logic and Experience: The Origin of Modern American Legal Education,William P. LaPiana,"LaPiana, William P.",,"=""0195079353""","=""9780195079357""",0,0.0,Oxford University Press,Hardcover,264,1994,1994,,2024/01/12,to-read,to-read (#79),to-read,,,,0,0
2448237,Law School: Legal Education in America from the 1850s to the 1980s (Studies in Legal History),Robert Stevens,"Stevens, Robert",,"=""0807841757""","=""9780807841754""",0,3.75,The University of North Carolina Press,Paperback,350,1987,1983,,2024/01/12,to-read,to-read (#78),to-read,,,,0,0
2348818,Lawyer: A Life of Counsel and Controversy,Arthur L. Liman,"Liman, Arthur L.",,"=""1891620045""","=""9781891620041""",0,3.81,PublicAffairs,Hardcover,416,1998,1998,,2024/01/12,to-read,to-read (#77),to-read,,,,0,0
4087888,The Making of the English Legal Profession,Richard L. Abel,"Abel, Richard L.",,"=""1587982501""","=""9781587982507""",0,5.00,Beard Books Inc,Paperback,576,1998,1998,,2024/01/11,to-read,to-read (#76),to-read,,,,0,0
3045539,The Law and Society Reader,Richard L. Abel,"Abel, Richard L.",,"=""0814706185""","=""9780814706183""",0,5.00,NYU Press,Paperback,450,1995,1995,,2024/01/11,to-read,to-read (#75),to-read,,,,0,0
10631139,Lawyers in the Dock,Richard L. Abel,"Abel, Richard L.",,"=""0199772878""","=""9780199772872""",0,3.60,Oxford University Press,Paperback,584,2011,2008,,2024/01/11,to-read,to-read (#74),to-read,,,,0,0
4087893,Lawyers: A Critical Reader,Richard L. Abel,"Abel, Richard L.",,"=""1565843924""","=""9781565843929""",0,4.00,The New Press,Paperback,311,1997,1997,,2024/01/11,to-read,to-read (#73),to-read,,,,0,0
