Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16233563,American Constitutionalism: Volume II: Rights & Liberties,Howard Gillman,"Gillman, Howard","Mark A. Graber, Keith E. Whittington","=""0199751358""","=""9780199751358""",0,3.92,Oxford University Press,Paperback,1152,2012,2012,,2024/01/11,to-read,to-read (#49),to-read,,,,0,0
15856685,American Constitutionalism: Volume I: Structures of Government,Howard Gillman,"Gillman, Howard","Mark A. Graber, Keith E. Whittington","=""0199751269""","=""9780199751266""",0,3.56,Oxford University Press,Paperback,800,2012,2012,,2024/01/11,to-read,to-read (#48),to-read,,,,0,0
748045,The Votes That Counted: How the Court Decided the 2000 Presidential Election,Howard Gillman,"Gillman, Howard",,"=""0226294080""","=""9780226294087""",0,3.88,University of Chicago Press,Paperback,280,2003,2001,,2024/01/11,to-read,to-read (#47),to-read,,,,0,0
916930,The Constitution Besieged: The Rise and Demise of Lochner Era Police Powers Jurisprudence,Howard Gillman,"Gillman, Howard",,"=""0822316420""","=""9780822316428""",0,3.64,Duke University Press Books,Paperback,328,1995,1992,,2024/01/11,to-read,to-read (#46),to-read,,,,0,0
370699,Total Justice,Lawrence M. Friedman,"Friedman, Lawrence M.",,"=""0871542684""","=""9780871542687""",0,4.23,Russell Sage Foundation,Paperback,176,1994,1985,,2024/01/11,to-read,to-read (#45),to-read,,,,0,0
345002,The Democratic Experiment: New Directions in American Political History (Politics and Society in Twentieth-Century America),Meg Jacobs,"Jacobs, Meg","William J. Novak, Julian E. Zelizer","=""0691113777""","=""9780691113777""",0,4.15,Princeton University Press,Paperback,464,2003,2003,,2024/01/11,to-read,to-read (#44),to-read,,,,0,0
3707025,The People's Welfare: Law and Regulation in Nineteenth-Century America,William J. Novak,"Novak, William J.",,"=""0807846112""","=""9780807846117""",0,3.86,The University of North Carolina Press,Paperback,408,1996,1996,,2024/01/11,to-read,to-read (#43),to-read,,,,0,0
147782,America 1900: The Turning Point,Judy Crichton,"Crichton, Judy",,"=""0805054359""","=""9780805054354""",0,3.98,Holt Paperbacks,Paperback,352,2000,1998,,2024/01/11,to-read,to-read (#42),to-read,,,,0,0
63022559,"The Origins of Woke: Civil Rights Law, Corporate America, and the Triumph of Identity Politics",Richard Hanania,"Hanania, Richard",,"=""0063237210""","=""9780063237216""",0,4.10,Broadside Books,Hardcover,270,2023,,,2024/01/11,to-read,to-read (#41),to-read,,,,0,0
56940290,Engaging the World: The Making of Hamas's Foreign Policy,Daud Abdullah,"Abdullah, Daud",,"=""""","=""9780994704825""",0,0.0,Afro-Middle East Centre,Paperback,272,2021,,,2024/01/11,to-read,to-read (#40),to-read,,,,0,0
127377910,FROM PATRICIAN TO PROFESSIONAL ELITE THE TRANSFORMATION OF THE NEW YORK CITY BAR ASSOCIATION,Michael J. Powell,"Powell, Michael J.",,"=""""","=""""",0,5.00,See Description,Hardcover,0,1988,1988,,2024/01/11,to-read,to-read (#39),to-read,,,,0,0
29519726,"Fascist Interactions: Proposals for a New Approach to Fascism and Its Era, 1919-1945",David D. Roberts,"Roberts, David D.",,"=""1785331302""","=""9781785331305""",0,4.00,Berghahn Books,Hardcover,330,2016,,,2024/01/11,to-read,to-read (#38),to-read,,,,0,0
670211,Red Feminism: American Communism and the Making of Women's Liberation (Reconfiguring American Political History),Kate Weigand,"Weigand, Kate",,"=""0801871115""","=""9780801871115""",0,4.12,Johns Hopkins University Press,Paperback,240,2002,2000,,2024/01/11,to-read,to-read (#37),to-read,,,,0,0
182136,The Culture of Critique: An Evolutionary Analysis of Jewish Involvement in Twentieth-Century Intellectual and Political Movements,Kevin B. MacDonald,"MacDonald, Kevin B.",,"=""0759672229""","=""9780759672222""",0,4.22,Authorhouse,Paperback,544,2002,1998,,2024/01/11,to-read,to-read (#36),to-read,,,,0,0
56222208,The Bidens: Inside the First Family’s Fifty-Year Rise to Power,Ben Schreckinger,"Schreckinger, Ben",,"=""1538738007""","=""9781538738009""",0,3.33,Twelve,Hardcover,320,2021,,,2024/01/10,to-read,to-read (#35),to-read,,,,0,0
60925,Fledgling,Octavia E. Butler,"Butler, Octavia E.",,"=""0446696161""","=""9780446696166""",0,3.83,Grand Central Publishing,Paperback,310,2007,2005,,2024/01/09,to-read,to-read (#34),to-read,,,,0,0
18210994,"Hollywood Traitors: Blacklisted Screenwriters - Agents of Stalin, Allies of Hitler",Allan H. Ryskind,"Ryskind, Allan H.",,"=""1621572064""","=""9781621572060""",0,3.73,Regnery History,Hardcover,538,2015,2014,,2024/01/09,to-read,to-read (#33),to-read,,,,0,0
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0812993012""","=""9780812993011""",0,4.22,Random House,Hardcover,368,2014,2014,,2024/01/09,to-read,to-read (#32),to-read,,,,0,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.08,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2024/01/09,to-read,to-read (#31),to-read,,,,0,0
1001441,The Transsexual Empire: The Making of the She-Male (Athene Series),Janice G. Raymond,"Raymond, Janice G.",,"=""0807762725""","=""9780807762721""",0,2.97,Teachers College Press,Paperback,264,1994,1979,,2024/01/08,to-read,to-read (#30),to-read,,,,0,0
